SOL_Face#13 ['fedora', 'eyes', 'none']
SOL_Face#14 ['fedora', 'round_glasses', 'none']
SOL_Face#15 ['fedora', 'pixel_sunglasses', 'none']
SOL_Face#16 ['fedora', 'pirate_eyepatch', 'none']
SOL_Face#17 ['crown', 'eyes', 'none']
SOL_Face#18 ['crown', 'round_glasses', 'none']
SOL_Face#19 ['crown', 'pixel_sunglasses', 'none']
SOL_Face#20 ['crown', 'pirate_eyepatch', 'none']
SOL_Face#21 ['none', 'eyes', 'mouth']
SOL_Face#22 ['none', 'round_glasses', 'mouth']
SOL_Face#23 ['none', 'pixel_sunglasses', 'mouth']
SOL_Face#24 ['none', 'pirate_eyepatch', 'mouth']
SOL_Face#25 ['headband', 'eyes', 'mouth']
SOL_Face#26 ['headband', 'round_glasses', 'mouth']
SOL_Face#27 ['headband', 'pixel_sunglasses', 'mouth']
SOL_Face#28 ['headband', 'pirate_eyepatch', 'mouth']
SOL_Face#29 ['headset', 'eyes', 'mouth']
SOL_Face#30 ['headset', 'round_glasses', 'mouth']
SOL_Face#31 ['headset', 'pixel_sunglasses', 'mouth']
SOL_Face#32 ['headset', 'pirate_eyepatch', 'mouth']
SOL_Face#33 ['fedora', 'eyes', 'mouth']
SOL_Face#34 ['fedora', 'round_glasses', 'mouth']
SOL_Face#35 ['fedora', 'pixel_sunglasses', 'mouth']
SOL_Face#36 ['fedora', 'pirate_eyepatch', 'mouth']
SOL_Face#37 ['crown', 'eyes', 'mouth']
SOL_Face#38 ['crown', 'round_glasses', 'mouth']
SOL_Face#39 ['crown', 'pixel_sunglasses', 'mouth']
SOL_Face#40 ['crown', 'pirate_eyepatch', 'mouth']
SOL_Face#41 ['none', 'eyes', 'mustache']
SOL_Face#42 ['none', 'round_glasses', 'mustache']
SOL_Face#43 ['none', 'pixel_sunglasses', 'mustache']
SOL_Face#44 ['none', 'pirate_eyepatch', 'mustache']
SOL_Face#45 ['headband', 'eyes', 'mustache']
SOL_Face#46 ['headband', 'round_glasses', 'mustache']
SOL_Face#47 ['headband', 'pixel_sunglasses', 'mustache']
SOL_Face#48 ['headband', 'pirate_eyepatch', 'mustache']
SOL_Face#49 ['headset', 'eyes', 'mustache']
SOL_Face#50 ['headset', 'round_glasses', 'mustache']
SOL_Face#51 ['headset', 'pixel_sunglasses', 'mustache']
SOL_Face#52 ['headset', 'pirate_eyepatch', 'mustache']
SOL_Face#53 ['fedora', 'eyes', 'mustache']
SOL_Face#54 ['fedora', 'round_glasses', 'mustache']
SOL_Face#55 ['fedora', 'pixel_sunglasses', 'mustache']
SOL_Face#56 ['fedora', 'pirate_eyepatch', 'mustache']
SOL_Face#57 ['crown', 'eyes', 'mustache']
SOL_Face#58 ['crown', 'round_glasses', 'mustache']
SOL_Face#59 ['crown', 'pixel_sunglasses', 'mustache']
SOL_Face#60 ['crown', 'pirate_eyepatch', 'mustache']
SOL_Face#61 ['none', 'eyes', 'beard']
SOL_Face#62 ['none', 'round_glasses', 'beard']
SOL_Face#63 ['none', 'pixel_sunglasses', 'beard']
SOL_Face#64 ['none', 'pirate_eyepatch', 'beard']
SOL_Face#65 ['headband', 'eyes', 'beard']
SOL_Face#66 ['headband', 'round_glasses', 'beard']
SOL_Face#67 ['headband', 'pixel_sunglasses', 'beard']
SOL_Face#68 ['headband', 'pirate_eyepatch', 'beard']
